amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max
B0BYPLR5JQ,"Sony 55 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The PlayStation® 5 XR55X90L- Latest Model,Black",Sony,,,,,3546.0,6144.0,848.0,848.0,848.0,5100.0,,,,,,
B0BYPLCFDS,"Sony 65 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The PlayStation® 5 XR65X90L- Latest Model,Black",Sony,798.0,798.0,,798.0,5823.0,8494.0,798.0,857.748125,1198.0,7980.0,798.0,855.9957142857141,1198.0,798.0,853.510303030303,1198.0
B0BYPT328K,Sony QD-OLED 55 inch BRAVIA XR A95L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The PlayStation® 5 XR55A95L- Latest Model,Sony,,,,,66.0,557.0,,,,1420.0,,,,1898.95,1898.95,1898.95
B0CLFQD1SN,"Roku 32"" Select Series 720p HD Smart RokuTV with Voice Remote, Bright Picture, Customizable Home Screen, and Free TV",Roku,,,,,163.0,151.0,,,,214.0,,,,129.0,170.55272727272725,204.66
B0CW3TLV11,"Roku 40"" Select Series Smart TV & Wireless Soundbar Bundle - RokuTV Audio",Roku,,,,,37.0,37.0,,,,55.0,,,,,,
B0CLFSWK9V,"Roku Smart TV – 43-Inch Select Series 4K HDR RokuTV with Roku Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming – Live Local News, Sports, Family Entertainment",Roku,,298.99,,,354.0,767.0,212.68,212.68,212.68,1228.0,,,,212.68,295.9075163398693,313.5
B0CY1BKFLK,,,,,,,,,,,,,,,,,,
B0CY17Y37N,,,,,,,,,,,,,,,,,,
B0CY164YDC,,,,,,,,,,,,,,,,,,
B0CY12ZXWJ,,,,,,,,,,,,,,,,,,
